[2026-04-29T13:01:19.158559] seq_id=40, LNA=1, Filter=1, Center=1, Mixer=0.285dBm, IFAmp=16.744dB, EVM=97.527%, Status=0
[2026-04-29T13:14:31.992700] seq_id=1, LNA=1, Filter=0, Center=0, Mixer=2.527dBm, IFAmp=13.264dB, EVM=99.581%, Status=0
[2026-04-29T13:14:32.176150] seq_id=2, LNA=1, Filter=1, Center=1, Mixer=0.266dBm, IFAmp=16.819dB, EVM=97.538%, Status=0
[2026-04-29T13:14:32.305630] seq_id=3, LNA=1, Filter=1, Center=1, Mixer=0.285dBm, IFAmp=16.774dB, EVM=97.536%, Status=0
[2026-04-29T13:14:32.487596] seq_id=4, LNA=1, Filter=1, Center=1, Mixer=0.278dBm, IFAmp=16.779dB, EVM=97.544%, Status=0
[2026-04-29T13:14:32.616190] seq_id=5, LNA=1, Filter=1, Center=1, Mixer=0.269dBm, IFAmp=16.781dB, EVM=97.544%, Status=0
[2026-04-29T13:14:32.795311] seq_id=6, LNA=1, Filter=1, Center=1, Mixer=0.270dBm, IFAmp=16.783dB, EVM=97.526%, Status=0
[2026-04-29T13:14:32.921826] seq_id=7, LNA=1, Filter=1, Center=1, Mixer=0.249dBm, IFAmp=16.829dB, EVM=97.525%, Status=0
[2026-04-29T13:14:33.072308] seq_id=8, LNA=1, Filter=1, Center=1, Mixer=0.284dBm, IFAmp=16.755dB, EVM=97.559%, Status=0
[2026-04-29T13:14:33.253813] seq_id=9, LNA=1, Filter=1, Center=1, Mixer=0.268dBm, IFAmp=16.783dB, EVM=97.561%, Status=0
[2026-04-29T13:14:33.435682] seq_id=10, LNA=1, Filter=1, Center=1, Mixer=0.274dBm, IFAmp=16.779dB, EVM=97.547%, Status=0
[2026-04-29T13:14:33.614109] seq_id=11, LNA=1, Filter=1, Center=1, Mixer=0.283dBm, IFAmp=16.777dB, EVM=97.533%, Status=0
[2026-04-29T13:14:33.792594] seq_id=12, LNA=1, Filter=1, Center=1, Mixer=0.256dBm, IFAmp=16.837dB, EVM=97.519%, Status=0
[2026-04-29T13:14:33.975589] seq_id=13, LNA=1, Filter=1, Center=1, Mixer=0.293dBm, IFAmp=16.770dB, EVM=97.552%, Status=0
[2026-04-29T13:14:34.157154] seq_id=14, LNA=1, Filter=1, Center=1, Mixer=0.244dBm, IFAmp=16.879dB, EVM=97.541%, Status=0
[2026-04-29T13:14:34.338767] seq_id=15, LNA=1, Filter=1, Center=1, Mixer=0.290dBm, IFAmp=16.742dB, EVM=97.548%, Status=0
[2026-04-29T13:14:34.519861] seq_id=16, LNA=1, Filter=1, Center=1, Mixer=0.261dBm, IFAmp=16.803dB, EVM=97.542%, Status=0
[2026-04-29T13:14:34.649703] seq_id=17, LNA=1, Filter=1, Center=1, Mixer=0.284dBm, IFAmp=16.770dB, EVM=97.542%, Status=0
[2026-04-29T13:14:34.776475] seq_id=18, LNA=1, Filter=1, Center=1, Mixer=0.300dBm, IFAmp=16.765dB, EVM=97.537%, Status=0
[2026-04-29T13:14:34.898150] seq_id=19, LNA=1, Filter=1, Center=1, Mixer=0.261dBm, IFAmp=16.780dB, EVM=97.550%, Status=0
[2026-04-29T13:14:35.024316] seq_id=20, LNA=1, Filter=1, Center=1, Mixer=0.286dBm, IFAmp=16.728dB, EVM=97.552%, Status=0
[2026-04-29T13:14:35.160569] seq_id=21, LNA=1, Filter=1, Center=1, Mixer=0.274dBm, IFAmp=16.750dB, EVM=97.560%, Status=0
[2026-04-29T13:14:35.288712] seq_id=22, LNA=1, Filter=1, Center=1, Mixer=0.256dBm, IFAmp=16.811dB, EVM=97.523%, Status=0
[2026-04-29T13:14:35.412067] seq_id=23, LNA=1, Filter=1, Center=1, Mixer=0.287dBm, IFAmp=16.737dB, EVM=97.547%, Status=0
[2026-04-29T13:14:35.540948] seq_id=24, LNA=1, Filter=1, Center=1, Mixer=0.277dBm, IFAmp=16.825dB, EVM=97.563%, Status=0
[2026-04-29T13:14:35.667472] seq_id=25, LNA=1, Filter=1, Center=1, Mixer=0.263dBm, IFAmp=16.823dB, EVM=97.515%, Status=0
[2026-04-29T13:14:35.851487] seq_id=26, LNA=1, Filter=1, Center=1, Mixer=0.279dBm, IFAmp=16.765dB, EVM=97.523%, Status=0
[2026-04-29T13:14:35.993584] seq_id=27, LNA=1, Filter=1, Center=1, Mixer=0.250dBm, IFAmp=16.824dB, EVM=97.525%, Status=0
[2026-04-29T13:14:36.172971] seq_id=28, LNA=1, Filter=1, Center=1, Mixer=0.264dBm, IFAmp=16.798dB, EVM=97.541%, Status=0
[2026-04-29T13:14:36.299600] seq_id=29, LNA=1, Filter=1, Center=1, Mixer=0.268dBm, IFAmp=16.830dB, EVM=97.534%, Status=0
[2026-04-29T13:14:36.429882] seq_id=30, LNA=1, Filter=1, Center=1, Mixer=0.264dBm, IFAmp=16.823dB, EVM=97.529%, Status=0
[2026-04-29T13:14:36.557591] seq_id=31, LNA=1, Filter=1, Center=1, Mixer=0.273dBm, IFAmp=16.780dB, EVM=97.559%, Status=0
[2026-04-29T13:14:36.729921] seq_id=32, LNA=1, Filter=1, Center=1, Mixer=0.259dBm, IFAmp=16.827dB, EVM=97.536%, Status=0
[2026-04-29T13:14:36.862176] seq_id=33, LNA=1, Filter=0, Center=1, Mixer=0.373dBm, IFAmp=16.460dB, EVM=97.576%, Status=0
[2026-04-29T13:14:37.042262] seq_id=34, LNA=1, Filter=0, Center=1, Mixer=0.348dBm, IFAmp=16.531dB, EVM=97.603%, Status=0
[2026-04-29T13:14:37.225906] seq_id=35, LNA=1, Filter=0, Center=1, Mixer=0.371dBm, IFAmp=16.457dB, EVM=97.579%, Status=0
[2026-04-29T13:14:37.356595] seq_id=36, LNA=1, Filter=0, Center=1, Mixer=0.337dBm, IFAmp=16.552dB, EVM=97.568%, Status=0
[2026-04-29T13:14:37.482467] seq_id=37, LNA=1, Filter=0, Center=1, Mixer=0.362dBm, IFAmp=16.498dB, EVM=97.579%, Status=0
[2026-04-29T13:14:37.609089] seq_id=38, LNA=1, Filter=0, Center=1, Mixer=0.280dBm, IFAmp=16.658dB, EVM=97.540%, Status=0
[2026-04-29T13:14:37.788213] seq_id=39, LNA=1, Filter=0, Center=1, Mixer=0.320dBm, IFAmp=16.553dB, EVM=97.570%, Status=0
[2026-04-29T13:14:37.919013] seq_id=40, LNA=1, Filter=0, Center=1, Mixer=0.330dBm, IFAmp=16.562dB, EVM=97.581%, Status=0
[2026-04-29T13:14:38.103256] seq_id=41, LNA=1, Filter=0, Center=1, Mixer=0.340dBm, IFAmp=16.529dB, EVM=97.588%, Status=0
[2026-04-29T13:14:38.285741] seq_id=42, LNA=1, Filter=0, Center=1, Mixer=0.311dBm, IFAmp=16.611dB, EVM=97.550%, Status=0
[2026-04-29T13:14:38.466557] seq_id=43, LNA=1, Filter=0, Center=1, Mixer=0.304dBm, IFAmp=16.614dB, EVM=97.541%, Status=0
[2026-04-29T13:14:38.647871] seq_id=44, LNA=1, Filter=0, Center=1, Mixer=0.353dBm, IFAmp=16.488dB, EVM=97.548%, Status=0
